location,year,Food,Seeds,Processing,Feeds_waste,totEndingStock,util
Philippines,2024,15211779.437277501,219519.785205,480995.81334000005,781618.1966775001,2155924.7,18849837.9325
Philippines,2025,14156879.6184,227547.18251517857,515631.1703329468,837900.6517910386,2327158.2934356164,18065116.91647478
Philippines,2026,14181229.451343646,227547.18251517857,551555.5421141324,896277.7559354652,2331161.0057003256,18187770.93760875
Philippines,2027,14205621.16599996,227547.18251517857,590018.9976607902,958780.8711987842,2335170.6026301305,18317138.820004843
Philippines,2028,14230054.834405478,227547.18251517857,631203.4944862156,1025705.6785401005,2339187.096066654,18453698.28601363
Philippines,2029,14254530.528720653,227547.18251517857,675304.2046948012,1097369.332629052,2343210.497871888,18597961.74643157
Philippines,2030,14279048.321230052,227547.18251517857,722530.4871057554,1174112.0415468526,2347240.8199282275,18750478.852326065
Philippines,2031,14303608.284342568,227547.18251517857,773106.9317815319,1256298.7641449894,2351278.0741385045,18911839.23692277
